# Job started on: Fri Jan 20 18:05:50 CET 2017 .....................................................................................................................................................................................
# FONLL heavy quark hadroproduction cross section, calculated on Fri Jan 20 18:35:52 CET 2017
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = J/psi from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->J/psi) = 0.0116
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 5
# ptmax = 60
# ymin  = -2.4
# ymax  = 2.4
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
  24.1125 2.5392e+02 2.1246e+02 3.0585e+02 2.1414e+02 3.0450e+02 2.4766e+02 2.6030e+02 2.4406e+02 2.6378e+02
  24.2500 2.4696e+02 2.0668e+02 2.9720e+02 2.0834e+02 2.9592e+02 2.4082e+02 2.5300e+02 2.3734e+02 2.5648e+02
  24.3875 2.4012e+02 2.0107e+02 2.8882e+02 2.0265e+02 2.8756e+02 2.3420e+02 2.4604e+02 2.3084e+02 2.4940e+02
  24.5250 2.3351e+02 1.9566e+02 2.8078e+02 1.9720e+02 2.7956e+02 2.2782e+02 2.3919e+02 2.2446e+02 2.4256e+02
  24.6625 2.2713e+02 1.9035e+02 2.7284e+02 1.9186e+02 2.7167e+02 2.2156e+02 2.3258e+02 2.1831e+02 2.3583e+02
  24.8000 2.2098e+02 1.8519e+02 2.6526e+02 1.8664e+02 2.6413e+02 2.1564e+02 2.2620e+02 2.1240e+02 2.2945e+02
  24.9375 2.1495e+02 1.8026e+02 2.5793e+02 1.8166e+02 2.5682e+02 2.0973e+02 2.2005e+02 2.0671e+02 2.2318e+02
  25.0750 2.0915e+02 1.7555e+02 2.5083e+02 1.7690e+02 2.4975e+02 2.0416e+02 2.1414e+02 2.0114e+02 2.1715e+02
  25.2125 2.0346e+02 1.7085e+02 2.4398e+02 1.7214e+02 2.4290e+02 1.9871e+02 2.0834e+02 1.9569e+02 2.1135e+02
  25.3500 1.9801e+02 1.6636e+02 2.3732e+02 1.6762e+02 2.3629e+02 1.9337e+02 2.0265e+02 1.9047e+02 2.0567e+02
  25.4875 1.9279e+02 1.6196e+02 2.3079e+02 1.6321e+02 2.2980e+02 1.8827e+02 1.9720e+02 1.8537e+02 2.0022e+02
  25.6250 1.8769e+02 1.5771e+02 2.2461e+02 1.5892e+02 2.2365e+02 1.8328e+02 1.9198e+02 1.8050e+02 1.9488e+02
  25.7625 1.8270e+02 1.5368e+02 2.1855e+02 1.5486e+02 2.1762e+02 1.7841e+02 1.8688e+02 1.7574e+02 1.8966e+02
  25.9000 1.7783e+02 1.4968e+02 2.1262e+02 1.5080e+02 2.1170e+02 1.7377e+02 1.8189e+02 1.7110e+02 1.8467e+02
  26.0375 1.7319e+02 1.4575e+02 2.0691e+02 1.4686e+02 2.0602e+02 1.6924e+02 1.7713e+02 1.6658e+02 1.7980e+02
  26.1750 1.6866e+02 1.4208e+02 2.0144e+02 1.4314e+02 2.0056e+02 1.6484e+02 1.7249e+02 1.6228e+02 1.7516e+02
  26.3125 1.6426e+02 1.3839e+02 1.9607e+02 1.3943e+02 1.9523e+02 1.6054e+02 1.6797e+02 1.5799e+02 1.7052e+02
  26.4500 1.6008e+02 1.3481e+02 1.9092e+02 1.3584e+02 1.9012e+02 1.5648e+02 1.6356e+02 1.5393e+02 1.6611e+02
  26.5875 1.5590e+02 1.3138e+02 1.8582e+02 1.3236e+02 1.8502e+02 1.5242e+02 1.5938e+02 1.4999e+02 1.6182e+02
  26.7250 1.5184e+02 1.2817e+02 1.8104e+02 1.2911e+02 1.8026e+02 1.4848e+02 1.5521e+02 1.4616e+02 1.5764e+02
